,car_name,registration_year,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),price(in lakhs)
168,2018 Renault Duster Petrol RXS CVT,18-Nov,Petrol,5,10000,First Owner,Automatic,14.99,7.95
169,2022 Tata Altroz XZ Plus BSVI,23-Sep,Petrol,5,14069,First Owner,Manual,19.33,8.24
170,2014 Nissan Terrano XV 110 PS Limited Edition,2014,Diesel,5,100000,1461 cc,2014,1461,6
171,2014 Renault Duster RXL AWD,14-Oct,Diesel,5,80000,First Owner,Manual,19.01,2.85
172,2016 Honda City i VTEC V,16-Mar,Petrol,5,57453,First Owner,Manual,17.8,6.24
173,2011 Ford Figo Petrol EXI,11-Jun,Petrol,5,66717,Second Owner,Manual,1196,70000
174,2016 Mercedes-Benz GLS 350d 4MATIC,2016,Diesel,7,40000,Second Owner,Automatic,11,43.33
175,2022 Volvo XC40 T4 R-Design,22-Jan,Petrol,5,16433,First Owner,Automatic,1969,43.75
176,2018 BMW X1 sDrive20i xLine,18-Dec,Petrol,5,17860,First Owner,Automatic,15.71,29.9
177,2020 Toyota Innova Crysta 2.8 ZX AT BSIV,20-Feb,Diesel,7,52000,First Owner,Automatic,11.36,22.5
178,2020 Mercedes-Benz C-Class Progressive C 220d,20-Jun,Diesel,5,30000,First Owner,Automatic,12.6,37.5
179,2021 Hyundai i20 N-Line N8 DCT BSVI,22-Feb,Petrol,5,16684,First Owner,Automatic,20.25,11.11
180,2019 Mercedes-Benz AMG C43 4MATIC Coupe,19-Jul,Petrol,5,30000,First Owner,Automatic,2996,67
181,2012 Maruti Swift LXI BSIV,12-Dec,Petrol,5,92543,First Owner,Manual,1197,2.74
182,2021 Mahindra XUV700 AX7 AT Luxury Pack BSVI,21-Nov,Petrol,7,25000,First Owner,Automatic,1999,24.75
183,2016 Ford Ecosport 1.5 Diesel Titanium Plus,16-Dec,Diesel,5,59870,First Owner,Manual,21.7,4.95
184,2016 Hyundai i20 Sportz 1.2,16-Jun,Petrol,5,62700,First Owner,Manual,18.6,5.22
185,2019 Kia Seltos HTX Plus AT D,19-Sep,Diesel,5,42132,First Owner,Automatic,17.8,14.75
186,2018 Mercedes-Benz CLA 200 CGI Sport,18-Jul,Petrol,5,32000,First Owner,Automatic,15.04,25.75
187,2010 Maruti A-Star Zxi,10-Jun,Petrol,5,58873,First Owner,Manual,19,1.82
188,2018 Renault Duster Petrol RXS CVT,18-Nov,Petrol,5,10000,First Owner,Automatic,14.99,7.95
189,2022 Tata Altroz XZ Plus BSVI,23-Sep,Petrol,5,14069,First Owner,Manual,19.33,8.24
190,2014 Nissan Terrano XV 110 PS Limited Edition,2014,Diesel,5,100000,1461 cc,2014,1461,6
191,2014 Renault Duster RXL AWD,14-Oct,Diesel,5,80000,First Owner,Manual,19.01,2.85
192,2016 Honda City i VTEC V,16-Mar,Petrol,5,57453,First Owner,Manual,17.8,6.24
193,2011 Ford Figo Petrol EXI,11-Jun,Petrol,5,66717,Second Owner,Manual,1196,70000
194,2016 Mercedes-Benz GLS 350d 4MATIC,2016,Diesel,7,40000,Second Owner,Automatic,11,43.33
195,2022 Volvo XC40 T4 R-Design,22-Jan,Petrol,5,16433,First Owner,Automatic,1969,43.75
196,2018 BMW X1 sDrive20i xLine,18-Dec,Petrol,5,17860,First Owner,Automatic,15.71,29.9
197,2020 Toyota Innova Crysta 2.8 ZX AT BSIV,20-Feb,Diesel,7,52000,First Owner,Automatic,11.36,22.5
198,2019 Mercedes-Benz S-Class S 350 d,20-Apr,Diesel,5,27200,First Owner,Automatic,13.5,77
199,2014 Hyundai Grand i10 Asta Option,14-Dec,Petrol,5,25260,First Owner,Manual,18.9,4.37
200,2019 BMW 5 Series 520d Luxury Line,20-Mar,Diesel,5,21421,Second Owner,Automatic,20.37,45.9
